backbone,epoch,tau_mean,tau_min,tau_max,L_magnitude,L_progress
GNN,199,-0.076493,-0.079660,-0.073326,0.244484,-1.04896
GNN,200,-0.076436,-0.079613,-0.073259,0.234746,-1.0029
GNN,201,-0.090411,-0.093208,-0.087615,0.237969,-1.03212
GNN,202,-0.084009,-0.087394,-0.080624,0.228402,-0.930124
GNN,203,-0.092756,-0.095731,-0.089781,0.221717,-0.968252
GNN,204,-0.098053,-0.101477,-0.094629,0.234405,-0.996725
GNN,205,-0.082466,-0.086367,-0.078566,0.235906,-0.97874
GNN,206,-0.075417,-0.080056,-0.070778,0.234198,-0.950062
GNN,207,-0.080151,-0.086023,-0.074280,0.223284,-0.946629
GNN,208,-0.076435,-0.083256,-0.069615,0.221905,-0.918074
GNN,209,-0.063898,-0.068498,-0.059297,0.22636,-0.954304
GNN,210,-0.059250,-0.064522,-0.053977,0.227546,-0.946523
GNN,211,-0.062023,-0.067381,-0.056664,0.224193,-0.904399
GNN,212,-0.066977,-0.071948,-0.062006,0.230357,-1.00761
GNN,213,-0.069772,-0.073604,-0.065940,0.235919,-1.00584
GNN,214,-0.074259,-0.077638,-0.070881,0.220781,-0.964139
GNN,215,-0.075294,-0.078289,-0.072299,0.227954,-0.968916
GNN,216,-0.076012,-0.079204,-0.072821,0.218151,-0.925201
GNN,217,-0.075025,-0.078048,-0.072002,0.22731,-0.941994
GNN,218,-0.075557,-0.078534,-0.072580,0.2192,-0.89388
GNN,219,-0.075848,-0.078854,-0.072842,0.219831,-0.917462
GNN,220,-0.075871,-0.078878,-0.072864,0.224711,-0.929697
GNN,221,-0.079470,-0.081579,-0.077362,0.225451,-0.940159
GNN,222,-0.075532,-0.078053,-0.073011,0.225225,-0.934539
GNN,223,-0.080148,-0.081085,-0.079211,0.225664,-0.958911
GNN,224,-0.070853,-0.071187,-0.070520,0.228725,-0.93548
GNN,225,-0.076336,-0.079064,-0.073607,0.225838,-0.970665
GNN,226,-0.078895,-0.081940,-0.075849,0.219177,-0.934849
GNN,227,-0.090013,-0.093421,-0.086606,0.217997,-0.97865
GNN,228,-0.086411,-0.090053,-0.082768,0.212727,-0.903159
GNN,229,-0.084259,-0.086432,-0.082087,0.225576,-0.958538
GNN,230,-0.085024,-0.088371,-0.081676,0.21521,-0.909847
GNN,231,-0.079779,-0.082697,-0.076861,0.209811,-0.910999
GNN,232,-0.073791,-0.076190,-0.071393,0.212257,-0.931203
GNN,233,-0.068593,-0.070839,-0.066347,0.212454,-0.918655
GNN,234,-0.070260,-0.072090,-0.068429,0.220249,-0.974859
GNN,235,-0.072245,-0.074073,-0.070417,0.214059,-0.90313
GNN,236,-0.070795,-0.072788,-0.068803,0.210486,-0.884278
GNN,237,-0.070179,-0.072057,-0.068301,0.21171,-0.926786
GNN,238,-0.070449,-0.072375,-0.068522,0.205042,-0.911388
GNN,239,-0.071027,-0.072963,-0.069091,0.210066,-0.940271
GNN,240,-0.071024,-0.072954,-0.069093,0.207841,-0.920851
GNN,241,-0.071163,-0.073876,-0.068449,0.210316,-0.945
GNN,242,-0.081255,-0.082891,-0.079618,0.21469,-0.952172
GNN,243,-0.079090,-0.080087,-0.078092,0.209937,-0.914177
GNN,244,-0.072040,-0.074738,-0.069341,0.201654,-0.876505
GNN,245,-0.066266,-0.069821,-0.062710,0.213829,-0.902363
GNN,246,-0.061383,-0.064247,-0.058518,0.207543,-0.89011
GNN,247,-0.055046,-0.057159,-0.052932,0.203603,-0.866112
GNN,248,-0.048348,-0.050097,-0.046599,0.202628,-0.866792
GNN,249,-0.055596,-0.057051,-0.054141,0.202854,-0.883556
GNN,250,-0.063077,-0.064126,-0.062028,0.206834,-0.897288
GNN,251,-0.061856,-0.062749,-0.060964,0.204072,-0.86275
GNN,252,-0.068696,-0.069472,-0.067919,0.204525,-0.872217
GNN,253,-0.071114,-0.071988,-0.070239,0.206714,-0.872064
GNN,254,-0.069092,-0.070077,-0.068107,0.19962,-0.844989
GNN,255,-0.068363,-0.069077,-0.067649,0.210805,-0.90454
GNN,256,-0.068129,-0.068760,-0.067497,0.200085,-0.866405
GNN,257,-0.068075,-0.068618,-0.067532,0.207659,-0.898176
GNN,258,-0.067706,-0.068262,-0.067150,0.208212,-0.870306
GNN,259,-0.067533,-0.068133,-0.066932,0.211095,-0.906169
GNN,260,-0.067479,-0.068089,-0.066869,0.207721,-0.880083
GNN,261,-0.066217,-0.068113,-0.064321,0.215251,-0.907783
GNN,262,-0.059837,-0.062618,-0.057055,0.20595,-0.882459
GNN,263,-0.067126,-0.068327,-0.065926,0.204912,-0.875374
GNN,264,-0.068182,-0.069999,-0.066365,0.206019,-0.872949
GNN,265,-0.065277,-0.065484,-0.065070,0.207803,-0.915746
GNN,266,-0.071303,-0.072023,-0.070582,0.20925,-0.930598
GNN,267,-0.074705,-0.076859,-0.072550,0.209104,-0.864679
GNN,268,-0.071975,-0.074048,-0.069901,0.208812,-0.887383
GNN,269,-0.078103,-0.079894,-0.076312,0.209534,-0.907379
GNN,270,-0.077970,-0.079593,-0.076347,0.207489,-0.888934
GNN,271,-0.069437,-0.070867,-0.068008,0.20688,-0.873058
GNN,272,-0.068380,-0.069870,-0.066890,0.205442,-0.878252
GNN,273,-0.066233,-0.067715,-0.064751,0.204947,-0.858655
GNN,274,-0.067506,-0.068810,-0.066202,0.208503,-0.908432
GNN,275,-0.069414,-0.070318,-0.068510,0.198222,-0.902917
GNN,276,-0.069754,-0.070655,-0.068853,0.20392,-0.916577
GNN,277,-0.069490,-0.070507,-0.068474,0.207696,-0.905045
GNN,278,-0.071019,-0.072017,-0.070022,0.204097,-0.891052
GNN,279,-0.071059,-0.072071,-0.070048,0.207628,-0.890892
GNN,280,-0.070988,-0.072011,-0.069964,0.199534,-0.856586
GNN,281,-0.072366,-0.073806,-0.070927,0.211208,-0.919332
GNN,282,-0.071220,-0.073796,-0.068645,0.209281,-0.898292
GNN,283,-0.067465,-0.069514,-0.065416,0.200411,-0.884017
GNN,284,-0.081142,-0.083152,-0.079133,0.208107,-0.895331
GNN,285,-0.080483,-0.083347,-0.077619,0.200126,-0.886116
GNN,286,-0.086311,-0.088259,-0.084362,0.202327,-0.894803
GNN,287,-0.074414,-0.076187,-0.072641,0.211521,-0.914574
GNN,288,-0.072591,-0.073838,-0.071345,0.20923,-0.879341
GNN,289,-0.077122,-0.078991,-0.075253,0.204519,-0.901063
GNN,290,-0.076017,-0.077861,-0.074172,0.206788,-0.929012
GNN,291,-0.086370,-0.088998,-0.083742,0.202096,-0.91248
GNN,292,-0.085594,-0.088165,-0.083024,0.197405,-0.920409
GNN,293,-0.083589,-0.085738,-0.081440,0.209902,-0.924705
GNN,294,-0.083163,-0.085676,-0.080649,0.207001,-0.953534
GNN,295,-0.079216,-0.082263,-0.076169,0.207608,-0.885386
GNN,296,-0.082384,-0.085530,-0.079239,0.202924,-0.885629
GNN,297,-0.081491,-0.084553,-0.078428,0.206276,-0.892651
GNN,298,-0.080150,-0.083167,-0.077134,0.207917,-0.915014
GNN,299,-0.080389,-0.083411,-0.077366,0.206233,-0.917074
GNN,300,-0.080471,-0.083502,-0.077440,0.210285,-0.905371
GNN,301,-0.083184,-0.085655,-0.080713,0.205739,-0.903107
GNN,302,-0.087208,-0.090543,-0.083873,0.206435,-0.922007
GNN,303,-0.086478,-0.089914,-0.083042,0.206933,-0.913811
GNN,304,-0.092348,-0.095445,-0.089251,0.210124,-0.923154
GNN,305,-0.098542,-0.101647,-0.095438,0.202574,-0.920428
GNN,306,-0.079531,-0.082778,-0.076285,0.20609,-0.874751
GNN,307,-0.082366,-0.084653,-0.080079,0.202392,-0.899922
GNN,308,-0.078892,-0.081204,-0.076581,0.205542,-0.89941
GNN,309,-0.081111,-0.083156,-0.079066,0.202148,-0.910707
GNN,310,-0.084127,-0.086014,-0.082241,0.202179,-0.913834
GNN,311,-0.084742,-0.086397,-0.083086,0.20593,-0.91488
GNN,312,-0.090525,-0.092413,-0.088637,0.205777,-0.904335
GNN,313,-0.091417,-0.093339,-0.089496,0.202849,-0.91693
GNN,314,-0.090935,-0.093239,-0.088632,0.204236,-0.896131
GNN,315,-0.093020,-0.095545,-0.090496,0.199994,-0.915937
GNN,316,-0.096008,-0.098904,-0.093112,0.205992,-0.919339
GNN,317,-0.097231,-0.100196,-0.094266,0.205417,-0.911375
GNN,318,-0.096161,-0.099121,-0.093200,0.205838,-0.90695
GNN,319,-0.095840,-0.098815,-0.092865,0.206745,-0.922335
GNN,320,-0.095765,-0.098726,-0.092803,0.211301,-0.901065
GNN,321,-0.095572,-0.098388,-0.092755,0.206128,-0.933806
GNN,322,-0.106343,-0.109314,-0.103372,0.206754,-0.925723
Uni-Mol,1,-0.032664,-0.036743,-0.028585,159.783,-939.797
Uni-Mol,2,-0.055313,-0.066477,-0.044150,167.91,-1031.46
Uni-Mol,3,-0.045392,-0.058713,-0.032070,151.755,-941.306
Uni-Mol,4,-0.042854,-0.057439,-0.028269,121.961,-856.442
Uni-Mol,5,-0.057537,-0.074873,-0.040201,115.339,-733.788
Uni-Mol,6,-0.060061,-0.077786,-0.042336,101.026,-650.552
Uni-Mol,7,-0.060767,-0.080049,-0.041485,101.982,-655.34
Uni-Mol,8,-0.064666,-0.082540,-0.046792,90.4366,-623.376
Uni-Mol,9,-0.047100,-0.063704,-0.030496,95.4788,-607.399
Uni-Mol,10,-0.049931,-0.065707,-0.034155,93.5179,-600.571
Uni-Mol,11,-0.050451,-0.066876,-0.034025,85.044,-511.809
Uni-Mol,12,-0.052778,-0.067658,-0.037898,84.6734,-536.063
Uni-Mol,13,-0.047584,-0.063235,-0.031933,77.4977,-516.025
Uni-Mol,14,-0.051019,-0.066618,-0.035420,74.4903,-464.149
Uni-Mol,15,-0.050408,-0.065973,-0.034842,72.4039,-415.702
Uni-Mol,16,-0.050664,-0.066130,-0.035198,71.5724,-451.271
Uni-Mol,17,-0.050865,-0.066393,-0.035338,62.9202,-411.608
Uni-Mol,18,-0.050913,-0.066683,-0.035143,68.4086,-444.566
Uni-Mol,19,-0.050809,-0.066619,-0.034999,64.755,-405.213
Uni-Mol,20,-0.050883,-0.066707,-0.035059,64.2095,-386.83
Uni-Mol,21,-0.031625,-0.045611,-0.017638,60.3793,-360.396
Uni-Mol,22,-0.018174,-0.034292,-0.002055,58.0425,-348.244
Uni-Mol,23,-0.039719,-0.054404,-0.025034,51.3166,-312.14
Uni-Mol,24,-0.041991,-0.059196,-0.024787,55.6378,-349.29
Uni-Mol,25,-0.052424,-0.069169,-0.035679,51.5485,-312.759
Uni-Mol,26,-0.048485,-0.064046,-0.032925,57.2288,-294.973
Uni-Mol,27,-0.058763,-0.074964,-0.042563,43.6449,-306.07
Uni-Mol,28,-0.058358,-0.074776,-0.041940,43.5286,-265.974
Uni-Mol,29,-0.055153,-0.072297,-0.038008,45.7083,-282.511
Uni-Mol,30,-0.053596,-0.072837,-0.034355,51.55,-303.668
Uni-Mol,31,-0.050524,-0.066909,-0.034139,53.8325,-280.698
Uni-Mol,32,-0.047496,-0.063688,-0.031304,44.2243,-261.918
Uni-Mol,33,-0.043148,-0.059889,-0.026406,45.4749,-267.458
Uni-Mol,34,-0.041365,-0.058145,-0.024584,45.7521,-250.459
Uni-Mol,35,-0.044559,-0.061532,-0.027586,39.6738,-256.822
Uni-Mol,36,-0.045635,-0.062531,-0.028740,40.4633,-249.216
Uni-Mol,37,-0.048231,-0.065348,-0.031113,40.4003,-259.881
Uni-Mol,38,-0.048269,-0.065223,-0.031315,37.1854,-219.764
Uni-Mol,39,-0.048265,-0.065191,-0.031340,38.9853,-223.451
Uni-Mol,40,-0.048263,-0.065175,-0.031351,41.1528,-244.948
Uni-Mol,41,-0.032890,-0.050095,-0.015686,38.7375,-246.788
Uni-Mol,42,-0.034327,-0.051011,-0.017643,38.633,-216.322
Uni-Mol,43,-0.054237,-0.071608,-0.036865,38.7675,-232.611
Uni-Mol,44,-0.054991,-0.070972,-0.039010,35.522,-217.103
Uni-Mol,45,-0.038465,-0.055856,-0.021074,36.1043,-217.749
Uni-Mol,46,-0.050286,-0.066653,-0.033919,34.005,-208.076
